"","NR","WR","SR","ER","NER"
"Schedule(MU)","126.1","-96.1","34.9","-64.1","0.8"
"Actual(MU)","132.1","-111.0","40.1","-61.4","1.1"
"O/D/U/D(MU)","6.0","-14.9","5.2","2.7","0.3"
