"Share of RES in total generation (%)","7.38","3.51","20.34","0.28","0.05","7.89"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","24.65","7.58","32.27","5.28","17.24","17.26"
