"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.0","0.0","0.4","3.1","3.5","42.9","53.7"
"SR GRID","0.0","0.0","0.4","3.1","3.5","42.9","53.7"
