"","NR","WR","SR","ER","NER"
"Schedule(MU)","136.8","-105.5","52.6","-89.7","3.8"
"Actual(MU)","133.0","-103.7","51.2","-82.6","1.0"
"O/D/U/D(MU)","-3.8","1.8","-1.4","7.1","-2.8"
