"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.0","0.0","0.0","79.4","20.6"
"SR GRID","0.0","0.2","9.3","14.2","9.5","85.1","5.4"
