"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10800","0","241.4","143.5","-0.9","109","0.0"
"","Haryana","9011","0","191.6","151.1","-0.1","167","0.0"
"","Rajasthan","9705","0","216.5","71.3","0.1","945","0.0"
"","Delhi","5687","0","117.3","95.4","-0.8","158","0.0"
"","UP","19086","0","420.3","211.5","-0.2","385","0.0"
"","Uttarakhand","1864","0","41.4","22.4","0.5","197","0.0"
"","HP","1407","0","29.5","-0.8","3.0","225","0.0"
"","J&K","2217","554","47.1","22.9","-1.2","283","6.2"
"","Chandigarh","249","0","5.3","6.1","-0.8","2","0.0"
"WR","Chhattisgarh","3594","64","82.7","25.2","1.5","652","0.5"
"","Gujarat","12877","0","288.6","66.9","2.0","435","0.0"
"","MP","7434","0","160.8","70.9","-2.2","319","0.0"
"","Maharashtra","17471","0","375.9","106.0","-1.7","784","0.0"
"","Goa","441","0","9.0","8.8","-0.4","71","0.0"
"","DD","336","0","7.6","6.4","1.1","102","0.0"
"","DNH","783","0","18.3","16.6","1.7","122","0.0"
"","Essar steel","554","0","10.5","10.0","0.4","288","0.0"
"SR","Andhra Pradesh","7786","0","175.6","18.9","2.2","770","0.0"
"","Telangana","8289","0","178.0","52.5","0.6","500","0.0"
"","Karnataka","9201","0","179.6","35.4","-1.6","445","0.0"
"","Kerala","2972","0","57.7","25.6","-1.2","175","0.0"
"","Tamil Nadu","14464","0","325.8","105.7","1.7","561","0.0"
"","Pondy","384","0","8.2","8.1","0.1","74","0.0"
"ER","Bihar","4804","0","97.9","97.7","0.2","412","0.0"
"","DVC","2849","300","64.4","-30.2","4.4","435","1.1"
"","Jharkhand","1173","0","26.2","19.4","1.1","185","0.0"
"","Odisha","5318","0","106.1","52.8","3.9","398","0.0"
"","West Bengal","8172","0","166.9","47.8","2.2","445","0.0"
"","Sikkim","87","0","1.5","1.4","0.1","20","0.0"
"NER","Arunachal Pradesh","126","2","2.2","2.5","-0.2","25","0.0"
"","Assam","1721","87","34.1","28.9","1.7","188","1.0"
"","Manipur","174","2","2.1","2.2","-0.1","25","0.0"
"","Meghalaya","306","0","5.6","2.1","0.3","53","0.0"
"","Mizoram","81","1","1.5","1.0","0.1","17","0.0"
"","Nagaland","111","1","2.4","1.7","0.3","35","0.0"
"","Tripura","274","0","4.7","4.2","0.0","103","0.1"
