"","NR","WR","SR","ER","NER"
"Schedule(MU)","92.7","-54.5","54.3","-98.8","5.8"
"Actual(MU)","81.5","-56.5","53.9","-89.0","9.3"
"O/D/U/D(MU)","-11.2","-2.0","-0.4","9.8","3.5"
