"","NR","WR","SR","ER","NER"
"Schedule(MU)","63.9","-70.3","37.3","-33.2","2.9"
"Actual(MU)","63.1","-68.2","44.7","-42.4","2.3"
"O/D/U/D(MU)","-0.8","2.1","7.4","-9.2","-0.6"
