"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0","0","2.6","10.6","2.6","95.0","2.4"
"SR GRID","0","0.2","23.5","36.7","23.7","74.9","1.4"
