"","NR","WR","SR","ER","NER"
"Schedule(MU)","89.3","-54.3","57.1","-97.5","5.4"
"Actual(MU)","65.6","-44.0","56.9","-80.5","1.3"
"O/D/U/D(MU)","-23.7","10.3","-0.2","17.0","-4.1"
