"","NR","WR","SR","ER","NER","All India"
"Coal","429","1070","450","423","12","2383"
"Lignite","18","13","57","0","0","88"
"Hydro","134","38","100","51","12","333"
"Nuclear","28","28","55","0","0","111"
"Gas, Naptha & Diesel","22","55","16","0","24","116"
"RES (Wind, Solar, Biomass & Others)","48","60","119","2","0","230"
"Total","679","1264","797","475","47","3262"
