"","NR","WR","SR","ER","NER","All India"
"Coal","541","1017","412","400","8","2378"
"Lignite","17","14","37","0","0","67"
"Hydro","356","18","41","126","27","567"
"Nuclear","27","28","55","0","0","111"
"Gas, Naptha & Diesel","31","41","16","0","27","115"
"RES (Wind, Solar, Biomass & Others)","92","165","321","2","0","581"
"Total","1064","1283","881","529","61","3818"
