"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","140.4","-140.8","72.8","-70.0","-1.1","1.3"
"Actual(MU)","140.7","-158.7","82.3","-64.1","-0.1","0.1"
"O/D/U/D(MU)","0.3","-18.0","9.5","5.9","1.0","-1.3"
