"","NR","WR","SR","ER","NER"
"Schedule(MU)","144.7","-120.3","41.2","-73.3","8.1"
"Actual(MU)","140.6","-126.0","50.1","-74.2","8.3"
"O/D/U/D(MU)","-4.1","-5.7","8.9","-0.9","0.2"
