"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","39484","44184","37508","16606","2324","140106"
"Peak Shortage (MW)","500","33","0","0","48","582"
"Energy Met (MU)","822","1032","870","328","40","3092"
"Hydro Gen(MU)","112","49","52","21","11","245"
"Wind Gen(MU)","31","45","34","----------","----------","109"
"Solar Gen (MU)*","0.16","9.45","18.40","0.04","0.02","28"
