"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 2000 hrs; from RLDCs)","51751","39726","33100","17741","2371","144688"
"Peak Shortage (MW)","2025","76","198","0","124","2423"
"Energy Met (MU)","1234","916","761","385","47","3343"
"Hydro Gen(MU)","346","29","25","95","23","518"
"Wind Gen(MU)","8","50","172","----------","----------","230"
"Solar Gen (MU)*","0.73","11.30","20.90","0.99","0.02","34"
"Energy Shortage (MU)","17.9","0.0","0.0","0.0","1.2","19.1"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","54947","39997","33833","18834","2501","145597"
