"","NR","WR","SR","ER","NER","All India"
"Coal","563","1128","462","424","4","2581"
"Lignite","23","20","48","0","0","90"
"Hydro","117","33","62","22","7","241"
"Nuclear","24","19","32","0","0","75"
"Gas, Naptha & Diesel","32","40","21","0","29","122"
"RES (Wind, Solar, Biomass & Others)","60","45","159","1","0","266"
"Total","819","1286","783","447","41","3376"
