"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","45737","45720","38540","17423","2314","149734"
"Peak Shortage (MW)","609","0","0","167","11","787"
"Energy Met (MU)","959","1073","878","346","42","3298"
"Hydro Gen (MU)","117","33","62","22","7","241"
"Wind Gen (MU)","11","23","50","----------","----------","83"
"Solar Gen (MU)*","21.50","19.78","73.77","1.19","0.02","116"
"Energy Shortage (MU)","13.8","0.3","0.0","0.5","0.2","14.9"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","46332","53704","42567","17716","2325","158835"
"","09:54","10:38","09:22","18:47","17:59","09:54"
