"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","155.0","-195.9","109.3","-73.1","4.4","-0.3"
"Actual(MU)","156.8","-199.5","102.9","-65.4","4.4","-0.7"
"O/D/U/D(MU)","1.9","-3.6","-6.4","7.7","0.0","-0.4"
