"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 2000 hrs; from RLDCs)","47226","42279","37385","18775","2258","147923"
"Peak Shortage (MW)","1223","51","0","0","177","1451"
"Energy Met (MU)","1114","1063","883","408","37","3505"
"Hydro Gen(MU)","302","37","30","79","22","470"
"Wind Gen(MU)","23","43","132","----------","----------","198"
"Solar Gen (MU)*","3.47","11.55","27.60","1.56","0.02","44"
"Energy Shortage (MU)","11.6","0.0","0.0","0.0","2.0","13.6"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","50119","46952","37118","20138","2255","150451"
