"","NR","WR","SR","ER","NER"
"Schedule(MU)","160.1","-128.6","40.7","-80.5","8.3"
"Actual(MU)","155.7","-136.2","45.8","-78.9","13.4"
"O/D/U/D(MU)","-4.4","-7.6","5.1","1.6","5.1"
