"","NR","WR","SR","ER","NER"
"Schedule(MU)","119.2","-101.4","43.4","-60.4","-4.5"
"Actual(MU)","123.2","-107.8","50.5","-59.5","-6.8"
"O/D/U/D(MU)","4.0","-6.4","7.1","0.9","-2.3"
