"","NR","WR","SR","ER","NER"
"Schedule(MU)","75.8","-44.4","53.1","-95.6","7.1"
"Actual(MU)","60.7","-41.0","52.8","-88.4","8.4"
"O/D/U/D(MU)","-15.1","3.4","-0.3","7.1","1.3"
