"","NR","WR","SR","ER","NER"
"Schedule(MU)","99.1","-107.1","54.7","-50.7","2.6"
"Actual(MU)","106.2","-113.3","59.1","-52.9","2.9"
"O/D/U/D(MU)","7.1","-6.2","4.4","-2.2","0.3"
