"","NR","WR","SR","ER","NER"
"Schedule(MU)","135.6","-111.2","16.4","-45.8","0.8"
"Actual(MU)","133.1","-110.3","11.8","-36.7","2.9"
"O/D/U/D(MU)","-2.5","0.9","-4.6","9.1","2.1"
