"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.0","0.3","0.0","90.1","9.9"
"SR GRID","0.0","0.0","2.5","13.0","2.5","86.2","11.3"
