"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.6","-83.7","48.5","-68.1","0.6"
"Actual(MU)","114.7","-96.6","53.5","-70.2","1.7"
"O/D/U/D(MU)","11.1","-12.9","5.0","-2.1","1.1"
