"","NR","WR","SR","ER","NER"
"Schedule(MU)","112.7","-95.4","30.2","-56.2","5.9"
"Actual(MU)","114.5","-109.2","34.8","-54.9","11.2"
"O/D/U/D(MU)","1.8","-13.8","4.6","1.3","5.3"
