"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","163.6","-175.9","85.3","-77.2","4.3","0.1"
"Actual(MU)","158.4","-178.9","84.6","-76.4","5.1","-7.2"
"O/D/U/D(MU)","-5.2","-2.9","-0.7","0.8","0.8","-7.2"
