"","NR","WR","SR","ER","NER"
"Schedule(MU)","68.4","-59.5","35.6","-47.7","4.7"
"Actual(MU)","55.6","-59.0","36.8","-42.0","7.9"
"O/D/U/D(MU)","-12.8","0.5","1.2","5.7","3.2"
