"","NR","WR","SR","ER","NER"
"Schedule(MU)","113.3","-106.7","38.0","-51.5","5.9"
"Actual(MU)","103.5","-113.5","42.6","-45.9","8.2"
"O/D/U/D(MU)","-9.8","-6.8","4.6","5.6","2.3"
