"","NR","WR","SR","ER","NER","All India"
"Coal","496","1162","513","425","11","2607"
"Lignite","16","13","45","0","0","74"
"Hydro","109","40","65","34","7","256"
"Nuclear","29","25","38","0","0","92"
"Gas, Naptha & Diesel","29","33","18","0","23","103"
"RES (Wind, Solar, Biomass & Others)","71","50","179","2","0","301"
"Total","750","1323","858","461","42","3433"
