"","NR","WR","SR","ER","NER"
"Schedule(MU)","80.5","-107.4","38.3","-22.3","6.0"
"Actual(MU)","81.6","-121.1","44.5","-15.4","7.1"
"O/D/U/D(MU)","1.1","-13.7","6.2","6.9","1.1"
