"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","139.7","-113.6","50.1","-74.8","-1.0","0.4"
"Actual(MU)","152.4","-125.8","45.1","-74.0","-1.1","-3.4"
"O/D/U/D(MU)","12.7","-12.2","-5.0","0.8","-0.1","-3.8"
