"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.5","7.7","10.8","8.2","88.1","3.7"
"SR GRID","0.0","0.0","0.3","1.0","0.3","78.9","20.8"
