"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4939","0","91.6","34.7","2.1","263"
"","Haryana","5488","0","108.6","40.1","0.5","466"
"","Rajasthan","9195","0","193.7","84.0","-5.1","71"
"","Delhi","3484","6","60.8","41.7","-0.9","360"
"","UP","9170","2310","210.3","73.7","-0.7","341"
"","Uttarakhand","1675","75","32.0","20.5","0.3","198"
"","HP","1346","0","25.1","19.5","0.5","107"
"","J&K","2049","100","40.5","32.1","2.0","260"
"","Chandigarh","201","0","3.5","3.3","0.3","44"
"WR","Chhattisgarh","2876","15","62.8","10.4","-2.3","350"
"","Gujarat","11338","22","238.8","36.4","-4.0","322"
"","MP","9584","30","198.2","110.5","1.4","478"
"","Maharashtra","17036","529","355.6","98.7","3.1","454"
"","Goa","353","1","6.9","6.2","0.4","37"
"","DD","247","1","6.0","6.1","-0.1","19"
"","DNH","629","2","14.7","14.3","0.4","38"
"","Essar steel","349","1","7.0","8.5","-1.6","0"
"SR","Andhra Pradesh","10829","0","252.6","96.5","3.8","405"
"","Karnataka","8088","500","172.0","22.8","3.3","339"
"","Kerala","2975","150","53.1","36.2","2.7","302"
"","Tamil Nadu","10850","1384","235.7","73.0","1.5","393"
"","Pondy","284","0","5.6","5.8","-0.2","19"
"ER","Bihar","1950","800","37.5","35.0","-0.1","180"
"","DVC","2478","55","57.6","-15.8","0.1","370"
"","Jharkhand","996","0","21.7","9.5","0.1","110"
"","Odisha","3332","0","66.5","14.3","5.9","440"
"","West Bengal","5473","0","108.3","10.0","6.1","450"
"","Sikkim","105","0","2.0","1.2","0.7","20"
"NER","Arunachal Pradesh","118","7","1.6","1.3","0.4","34"
"","Assam","977","190","18.0","11.0","2.7","193"
"","Manipur","117","8","2.0","1.5","0.5","46"
"","Meghalaya","273","1","4.9","3.1","0.1","50"
"","Mizoram","64","5","1.1","1.1","-0.2","28"
"","Nagaland","103","2","1.8","1.3","0.3","35"
"","Tripura","191","3","3.0","0.0","0.5","86"
