"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","1.63","12.31","13.95","69.86","16.19"
"SR GRID","0.00","0.00","1.63","12.31","13.95","69.86","16.19"
