"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7973","0","183.2","97.7","0.4","196"
"","Haryana","6806","0","137.4","110.4","-0.2","215"
"","Rajasthan","8868","0","190.0","59.5","1.5","491"
"","Delhi","4883","0","99.5","79.1","-0.9","216"
"","UP","14860","1685","317.2","140.4","-0.5","632"
"","Uttarakhand","1743","0","38.0","20.2","0.5","104"
"","HP","1149","0","24.6","7.3","1.1","211"
"","J&K","1769","442","33.2","16.6","-5.3","45"
"","Chandigarh","283","0","5.3","5.5","0.3","27"
"WR","Chhattisgarh","3046","0","71","23","0","360"
"","Gujarat","13483","9","308","61","-4","419"
"","MP","6706","0","152","102","-2","322"
"","Maharashtra","16961","0","387","123","1","457"
"","Goa","372","0","8","7","0","4"
"","DD","289","0","6","6","0","64"
"","DNH","744","0","17","17","0","2"
"","Essar steel","512","0","10","11","-1","156"
"SR","Andhra Pradesh","6230","0","137","12.0","0.1","598"
"","Telangana","5344","0","118","65.5","1.1","302"
"","Karnataka","6441","0","132","45.0","-0.2","393"
"","Kerala","3121","0","55","42.5","1.7","366"
"","Tamil Nadu","13267","0","288","118.2","3.0","607"
"","Pondy","352","0","7","7.3","0.1","16"
"ER","Bihar","3260","200","66","62.3","0.3","155"
"","DVC","2766","0","61","-29.1","-0.5","140"
"","Jharkhand","1059","0","22","16.1","-1.0","115"
"","Odisha","3837","0","81","29.6","2.7","280"
"","West Bengal","7349","0","154","40.6","2.9","260"
"","Sikkim","72","0","1","1.3","-0.2","25"
"NER","Arunachal Pradesh","98","11","2","2.1","-0.3","24"
"","Assam","1427","40","26","19.3","1.9","325"
"","Manipur","131","3","2","2.0","0.0","28"
"","Meghalaya","253","0","5","0.0","0.7","105"
"","Mizoram","69","6","1","1.1","-0.1","15"
"","Nagaland","104","6","2","1.9","-0.4","22"
"","Tripura","204","7","3","3.1","-0.5","41"
