"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.6","-106.1","34.4","-36.5","5.2"
"Actual(MU)","106.8","-116.5","35.7","-34.8","8.0"
"O/D/U/D(MU)","3.2","-10.4","1.3","1.7","2.8"
