"Share of RES in total generation (%)","8.56","5.21","16.85","0.21","0.09","8.13"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","30.55","9.28","27.59","6.54","7.92","18.01"
