"","NR","WR","SR","ER","NER"
"Schedule(MU)","52.3","-61.9","47.3","-49.2","8.7"
"Actual(MU)","53.1","-60.5","47.0","-51.5","11.9"
"O/D/U/D(MU)","0.8","1.4","-0.3","-2.3","3.2"
