"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","210.3","-202.4","66.8","-67.1","-3.7","3.9"
"Actual(MU)","202.2","-204.6","73.4","-63.2","-4.0","3.8"
"O/D/U/D(MU)","-8.1","-2.2","6.6","3.9","-0.3","-0.1"
