"","NR","WR","SR","ER","NER"
"Schedule(MU)","91.0","-69.6","27.1","-52.0","3.8"
"Actual(MU)","87.8","-74.5","27.4","-43.5","7.0"
"O/D/U/D(MU)","-3.2","-4.9","0.3","8.5","3.2"
