"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","1.1","4.3","8.3","5.4","93.4","1.2"
"SR GRID","0.0","0.0","1.1","6.3","1.1","94.4","4.5"
