"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.2","2.9","6.3","3.1","94.2","2.7"
"SR GRID","0.0","0.0","2.2","9.3","2.2","88.0","9.9"
