"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.1","5.1","8.2","5.3","91.7","3.0"
"SR GRID","0.0","0.0","5.9","10.7","5.9","77.4","16.7"
