"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.69","8.41","9.11","68.29","22.60"
"SR GRID","0.00","0.00","0.69","8.41","9.11","68.29","22.60"
