"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","1.06","10.43","11.49","64.35","24.16"
"SR GRID","0.00","0.00","1.06","10.43","11.49","64.35","B. Frequency Profile (%)24.16"
