"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","43411","34381","32334","16123","1868","128117"
"Peak Shortage (MW)","2765","644","1650","250","480","5789"
"Energy Met (MU)","1008","771","765","342","34","2919"
"Hydro Gen(MU)","314","26","77","70","16","504"
"Wind Gen(MU)","10","51","111","----------","----------","171"
