"","NR","WR","SR","ER","NER"
"Schedule(MU)","117.1","-117.1","57.2","-58.2","0.9"
"Actual(MU)","132.6","-128.0","60.9","-66.8","3.4"
"O/D/U/D(MU)","15.5","-10.9","3.7","-8.6","2.5"
