"Share of RES in total generation (%)","7.69","2.51","14.71","0.18","0.10","6.28"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","25.86","6.19","28.91","7.41","17.59","16.42"
