"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","42612","46445","40169","18289","2425","149940"
"Peak Shortage (MW)","611","0","0","0","31","642"
"Energy Met (MU)","853","1054","900","343","43","3193"
"Hydro Gen (MU)","134","38","100","51","12","333"
"Wind Gen (MU)","10","30","28","----------","----------","68"
"Solar Gen (MU)*","16.89","19.6","59.91","1.77","0.05","98"
"Energy Shortage (MU)","9.9","0.0","0.0","0.0","0.6","10.4"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","42855","48690","42250","18148","2530","152237"
"","18:26","10:39","18:32","18:07","17:32","18:32"
