"Region","FVI","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.036","0.00","0.02","7.08","7.11","80.53","12.36"
"SR GRID","0.036","0.00","0.02","7.08","7.11","80.53","12.36"
