"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4901","70","105.1","48.7","1.8","444"
"","Haryana","4853","351","95.1","45.5","1.3","329"
"","Rajasthan","6336","0","136.8","48.2","-5.7","99"
"","Delhi","3534","0","76.3","56.8","-3.3","47"
"","UP","9824","2505","216.0","79.2","2.9","637"
"","Uttarakhand","1552","75","31.8","18.6","0.6","143"
"","HP","1198","0","24.6","12.0","1.7","147"
"","J&K","1497","100","29.4","18.4","-1.1","50"
"","Chandigarh","209","0","4.1","4.1","0.0","27"
"WR","Chhattisgarh","3048","56","69.5","18.8","1.5","671"
"","Gujarat","11524","25","255.8","44.8","-1.7","373"
"","MP","5830","0","121.4","63.1","-5.0","121"
"","Maharashtra","16032","71","352.8","120.8","-2.3","619"
"","Goa","398","70","7.9","7.4","0.1","80"
"","DD","275","0","6.4","5.3","1.1","30"
"","DNH","598","0","14.5","11.3","3.1","145"
"SR","Andhra Pradesh","10992","2250","247.8","72.1","2.8","426"
"","Karnataka","7764","900","166.7","26.2","0.8","206"
"","Kerala","3001","500","60.7","32.6","2.1","244"
"","Tamil Nadu","10597","1704","236.4","72.4","3.0","358"
"","Pondy","311","0","6.6","7.8","-1.2","0"
"ER","Bihar","1522","400","31.6","32.0","-0.4","180"
"","DVC","2510","0","55.0","-16.6","0.3","400"
"","Jharkhand","875","0","15.5","7.4","-3.4","70"
"","Odisha","3013","0","62.1","6.8","3.3","330"
"","West Bengal","5596","0","118.9","28.4","-2.1","110"
"","Sikkim","73","0","1.4","1.4","0.0","15"
"NER","Arunachal Pradesh","92","6","1.2","1.3","-0.1","36"
"","Assam","1005","173","15.0","11.2","-0.7","148"
"","Manipur","92","6","1.0","1.1","-0.1","42"
"","Meghalaya","248","15","4.0","3.0","0.2","62"
"","Mizoram","55","2","1.0","0.9","0.1","9"
"","Nagaland","74","1","1.1","1.2","-0.2","12"
"","Tripura","170","24","3.2","0.8","0.2","22"
