"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","186.7","-214.8","117.3","-88.8","4.5","4.9"
"Actual(MU)","174.9","-209.7","111.5","-74.3","4.1","6.5"
"O/D/U/D(MU)","-11.7","5.1","-5.8","14.4","-0.4","1.6"
