"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","40408","40613","33709","16721","2170","133621"
"Peak Shortage (MW)","1935","175","1474","300","206","4090"
"Energy Met (MU)","954","1006","788","374","41","3163"
"Hydro Gen(MU)","304","55","55","50","10","473"
"Wind Gen(MU)","13","55","61","----------","----------","129"
