"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.41","9.71","10.12","71.92","18.00"
"SR GRID","0.00","0.00","0.40","9.70","10.10","71.90","18.00"
