"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","202.8","-192.7","95.1","-103.2","-2.0","0.1"
"Actual(MU)","199.5","-191.4","100.2","-108.8","-3.0","-3.5"
"O/D/U/D(MU)","-3.3","1.3","5.0","-5.6","-1.0","-3.6"
