"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4942","800","99.3","44.6","1.7","326"
"","Haryana","5100","56","97.1","64.0","1.8","282"
"","Rajasthan","8857","0","187.7","62.2","-0.9","137"
"","Delhi","2992","0","55.8","39.9","-1.1","121"
"","UP","10260","1975","227.9","90.0","-3.4","242"
"","Uttarakhand","1630","0","31.7","21.4","1.3","145"
"","HP","1290","0","23.8","17.1","0.3","67"
"","J&K","1603","100","29.6","23.4","-1.6","131"
"","Chandigarh","170","0","3.2","3.3","-0.1","18"
"WR","Chhattisgarh","3187","53","69.2","14.7","0.2","388"
"","Gujarat","11900","8","265.0","57.8","-2.5","453"
"","MP","6575","9","137.6","69.8","0.4","451"
"","Maharashtra","16875","82","358.0","95.4","2.4","478"
"","Goa","425","1","8.8","7.4","0.8","74"
"","DD","269","0","6.2","6.1","0.1","27"
"","DNH","629","1","14.4","14.5","-0.1","24"
"","Essar steel","572","1","12.5","12.0","0.5","56"
"SR","Andhra Pradesh","11989","400","279.9","97.4","6.1","411"
"","Karnataka","8723","400","187.6","21.1","1.3","1228"
"","Kerala","3334","8","64.8","35.0","1.6","182"
"","Tamil Nadu","11735","741","264.3","94.2","0.4","389"
"","Pondy","305","0","6.2","6.4","-0.1","0"
"ER","Bihar","2054","500","41.9","39.1","0.3","150"
"","DVC","2478","0","56.2","-20.1","-2.6","250"
"","Jharkhand","915","0","20.6","10.0","-0.5","100"
"","Odisha","3723","0","71.1","17.1","0.0","260"
"","West Bengal","6967","31","131.3","39.2","0.6","450"
"","Sikkim","82","0","1.2","1.3","-0.1","25"
"NER","Arunachal Pradesh","103","2","1.3","1.1","0.2","44"
"","Assam","892","284","17.3","9.9","2.8","141"
"","Manipur","118","2","1.5","1.1","0.4","54"
"","Meghalaya","277","3","4.0","2.4","0.6","81"
"","Mizoram","74","1","1.0","0.7","0.0","26"
"","Nagaland","93","2","1.3","1.2","-0.2","30"
"","Tripura","208","2","3.4","-1.7","2.8","145"
