"","NR","WR","SR","ER","NER"
"Schedule(MU)","54.5","-68.6","47.3","-46.7","8.8"
"Actual(MU)","50.6","-62.1","47.1","-48.2","11.8"
"O/D/U/D(MU)","-3.9","6.5","-0.2","-1.5","3.0"
