"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","178.9","-218.5","127.6","-92.0","4.1","0.1"
"Actual(MU)","165.4","-224.4","139.2","-91.6","4.9","-6.5"
"O/D/U/D(MU)","-13.5","-5.9","11.7","0.4","0.7","-6.6"
