"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9176","0","192.0","83.7","2.0","163"
"","Haryana","7794","0","167.0","74.0","1.0","229"
"","Rajasthan","8779","440","199.6","57.9","3.4","469"
"","Delhi","4577","2","95.4","66.1","1.2","346"
"","UP","9851","4640","223.5","88.8","10.6","1348"
"","Uttarakhand","1431","265","32.3","14.6","2.1","228"
"","HP","1237","0","26.5","7.3","1.4","133"
"","J&K","1539","0","28.9","16.2","0.5","291"
"","Chandigarh","265","0","5.3","4.2","1.1","97"
"WR","Chhattisgarh","3113","94","72.2","27.1","2.2","375"
"","Gujarat","12495","0","285.2","87.5","0.4","323"
"","MP","7887","0","170.5","97.6","-0.4","463"
"","Maharashtra","18911","55","413.9","143.4","3.8","466"
"","Goa","432","0","8.6","7.8","0.5","52"
"","DD","275","0","6.1","6.1","0.0","38"
"","DNH","677","0","15.5","15.2","0.3","56"
"","Essar steel","348","0","7.1","6.3","0.8","79"
"SR","Andhra Pradesh","6039","400","134.4","31.3","1.8","555"
"","Telangana","6473","800","136.4","62.3","3.7","451"
"","Karnataka","6899","600","150.2","19.9","2.6","506"
"","Kerala","3410","150","62.4","33.5","2.5","397"
"","Tamil Nadu","11373","992","253.5","75.1","-1.4","640"
"","Pondy","309","35","6.6","6.6","0.0","25"
"ER","Bihar","2502","50","48.2","48.0","-2.3","190"
"","DVC","2346","100","52.4","-12.8","5.1","370"
"","Jharkhand","892","100","18.7","10.8","0.9","110"
"","Odisha","3847","150","76.6","12.0","2.5","200"
"","West Bengal","7058","24","136.0","41.9","3.2","260"
"","Sikkim","70","0","1.2","1.3","0.0","24"
"NER","Arunachal Pradesh","105","0","1.7","2.0","-0.3","6"
"","Assam","1120","197","20.7","13.7","1.7","187"
"","Manipur","124","0","2.5","2.3","0.2","33"
"","Meghalaya","250","0","4.0","-0.7","-0.6","27"
"","Mizoram","70","0","1.2","1.1","0.0","16"
"","Nagaland","95","1","1.7","1.6","-0.3","29"
"","Tripura","234","1","3.0","1.5","-0.6","51"
