"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","41686","46014","39167","17957","2410","147234"
"Peak Shortage (MW)","782","0","0","0","55","837"
"Energy Met (MU)","859","1056","907","334","42","3198"
"Hydro Gen (MU)","134","47","101","50","11","343"
"Wind Gen (MU)","13","31","39","----------","----------","83"
"Solar Gen (MU)*","8.34","20.3","61.35","1.91","0.05","92"
"Energy Shortage (MU)","10.5","0.0","0.0","0.0","0.8","11.3"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","42820","48711","41285","17995","2433","151116"
"","18:37","10:44","18:41","17:58","17:34","18:37"
