"","NR","WR","SR","ER","NER"
"Schedule(MU)","122.2","-92.6","47.2","-74.4","4.6"
"Actual(MU)","128.7","-97.0","46.5","-76.9","3.0"
"O/D/U/D(MU)","6.5","-4.4","-0.7","-2.5","-1.6"
